Instance,class,Pred_class,Matches,gre,gpa,rank,x,y,Mix,class_new
1051,,,Match,,,,0.469080862,0.040585326,,
1052,,,Match,,,,0.469080862,0.082499197,,
1053,,,Match,,,,0.469080862,0.124413068,,
1054,,,Match,,,,0.469080862,0.166326939,,
1055,,,Match,,,,0.469080862,0.20824081,,
1056,,,Match,,,,0.469080862,0.250154681,,
1057,,,Match,,,,0.469080862,0.669293391,,
1058,,,Match,,,,0.469080862,0.711207262,,
1059,,,Match,,,,0.469080862,0.753121133,,
1060,,,Match,,,,0.510994733,-0.713864352,,
1061,,,Match,,,,0.510994733,-0.671950481,,
1062,,,Match,,,,0.510994733,-0.63003661,,
1063,,,Match,,,,0.510994733,-0.588122739,,
1064,,,Match,,,,0.510994733,-0.546208868,,
1065,,,Match,,,,0.510994733,-0.168984029,,
1066,,,Match,,,,0.510994733,-0.085156287,,
1067,,,Match,,,,0.510994733,0.082499197,,
1068,,,Match,,,,0.510994733,0.124413068,,
1069,,,Match,,,,0.510994733,0.250154681,,
1070,,,Match,,,,0.510994733,0.292068552,,
1071,,,Match,,,,0.510994733,0.333982423,,
1072,,,Match,,,,0.510994733,0.501637907,,
1073,,,Match,,,,0.510994733,0.62737952,,
1074,,,Match,,,,0.510994733,0.669293391,,
1075,,,Match,,,,0.510994733,0.711207262,,
1076,,,Match,,,,0.510994733,0.753121133,,
1077,,,Match,,,,0.552908604,-0.713864352,,
1078,,,Match,,,,0.552908604,-0.671950481,,
1079,,,Match,,,,0.552908604,-0.63003661,,
1080,,,Match,,,,0.552908604,-0.588122739,,
1081,,,Match,,,,0.552908604,-0.546208868,,
1082,,,Match,,,,0.552908604,-0.504294997,,
1083,,,Match,,,,0.552908604,-0.2108979,,
1084,,,Match,,,,0.552908604,-0.043242416,,
1085,,,Match,,,,0.552908604,0.082499197,,
1086,,,Match,,,,0.552908604,0.124413068,,
1087,,,Match,,,,0.552908604,0.333982423,,
1088,,,Match,,,,0.552908604,0.459724036,,
1089,,,Match,,,,0.552908604,0.501637907,,
1090,,,Match,,,,0.552908604,0.543551778,,
1091,,,Match,,,,0.552908604,0.585465649,,
1092,,,Match,,,,0.552908604,0.62737952,,
1093,,,Match,,,,0.552908604,0.669293391,,
1094,,,Match,,,,0.552908604,0.711207262,,
1095,,,Match,,,,0.552908604,0.753121133,,
1096,,,Match,,,,0.594822475,-0.713864352,,
1097,,,Match,,,,0.594822475,-0.671950481,,
1098,,,Match,,,,0.594822475,-0.63003661,,
1099,,,Match,,,,0.594822475,-0.588122739,,
1100,,,Match,,,,0.594822475,-0.546208868,,
1101,,,Match,,,,0.594822475,-0.504294997,,
1102,,,Match,,,,0.594822475,-0.462381126,,
1103,,,Match,,,,0.594822475,-0.420467255,,
1104,,,Match,,,,0.594822475,-0.378553384,,
1105,,,Match,,,,0.594822475,-0.252811771,,
1106,,,Match,,,,0.594822475,-0.2108979,,
1107,,,Match,,,,0.594822475,-0.001328545,,
1108,,,Match,,,,0.594822475,0.040585326,,
1109,,,Match,,,,0.594822475,0.082499197,,
1110,,,Match,,,,0.594822475,0.124413068,,
1111,,,Match,,,,0.594822475,0.250154681,,
1112,,,Match,,,,0.594822475,0.585465649,,
1113,,,Match,,,,0.594822475,0.62737952,,
1114,,,Match,,,,0.594822475,0.669293391,,
1115,,,Match,,,,0.594822475,0.711207262,,
1116,,,Match,,,,0.594822475,0.753121133,,
1117,,,Match,,,,0.636736346,-0.713864352,,
1118,,,Match,,,,0.636736346,-0.671950481,,
1119,,,Match,,,,0.636736346,-0.63003661,,
1120,,,Match,,,,0.636736346,-0.588122739,,
1121,,,Match,,,,0.636736346,-0.546208868,,
1122,,,Match,,,,0.636736346,-0.504294997,,
1123,,,Match,,,,0.636736346,-0.462381126,,
1124,,,Match,,,,0.636736346,-0.420467255,,
1125,,,Match,,,,0.636736346,-0.378553384,,
1126,,,Match,,,,0.636736346,-0.336639513,,
1127,,,Match,,,,0.636736346,-0.294725642,,
1128,,,Match,,,,0.636736346,-0.252811771,,
1129,,,Match,,,,0.636736346,-0.168984029,,
1130,,,Match,,,,0.636736346,-0.001328545,,
1131,,,Match,,,,0.636736346,0.082499197,,
1132,,,Match,,,,0.636736346,0.459724036,,
1133,,,Match,,,,0.636736346,0.501637907,,
1134,,,Match,,,,0.636736346,0.585465649,,
1135,,,Match,,,,0.636736346,0.62737952,,
1136,,,Match,,,,0.636736346,0.669293391,,
1137,,,Match,,,,0.636736346,0.711207262,,
1138,,,Match,,,,0.636736346,0.753121133,,
1139,,,Match,,,,0.678650217,-0.713864352,,
1140,,,Match,,,,0.678650217,-0.671950481,,
1141,,,Match,,,,0.678650217,-0.63003661,,
1142,,,Match,,,,0.678650217,-0.588122739,,
1143,,,Match,,,,0.678650217,-0.546208868,,
1144,,,Match,,,,0.678650217,-0.504294997,,
1145,,,Match,,,,0.678650217,-0.462381126,,
1146,,,Match,,,,0.678650217,-0.420467255,,
1147,,,Match,,,,0.678650217,-0.378553384,,
1148,,,Match,,,,0.678650217,-0.336639513,,
1149,,,Match,,,,0.678650217,-0.168984029,,
1150,,,Match,,,,0.678650217,-0.127070158,,
1151,,,Match,,,,0.678650217,0.082499197,,
1152,,,Match,,,,0.678650217,0.292068552,,
1153,,,Match,,,,0.678650217,0.417810165,,
1154,,,Match,,,,0.678650217,0.459724036,,
1155,,,Match,,,,0.678650217,0.501637907,,
1156,,,Match,,,,0.678650217,0.543551778,,
1157,,,Match,,,,0.678650217,0.585465649,,
1158,,,Match,,,,0.678650217,0.62737952,,
1159,,,Match,,,,0.678650217,0.669293391,,
1160,,,Match,,,,0.678650217,0.711207262,,
1161,,,Match,,,,0.678650217,0.753121133,,
1162,,,Match,,,,0.720564088,-0.713864352,,
1163,,,Match,,,,0.720564088,-0.671950481,,
1164,,,Match,,,,0.720564088,-0.63003661,,
1165,,,Match,,,,0.720564088,-0.588122739,,
1166,,,Match,,,,0.720564088,-0.546208868,,
1167,,,Match,,,,0.720564088,-0.504294997,,
1168,,,Match,,,,0.720564088,-0.462381126,,
1169,,,Match,,,,0.720564088,-0.420467255,,
1170,,,Match,,,,0.720564088,-0.378553384,,
1171,,,Match,,,,0.720564088,-0.336639513,,
1172,,,Match,,,,0.720564088,0.124413068,,
1173,,,Match,,,,0.720564088,0.166326939,,
1174,,,Match,,,,0.720564088,0.292068552,,
1175,,,Match,,,,0.720564088,0.417810165,,
1176,,,Match,,,,0.720564088,0.459724036,,
1177,,,Match,,,,0.720564088,0.501637907,,
1178,,,Match,,,,0.720564088,0.543551778,,
1179,,,Match,,,,0.720564088,0.585465649,,
1180,,,Match,,,,0.720564088,0.62737952,,
1181,,,Match,,,,0.720564088,0.669293391,,
1182,,,Match,,,,0.720564088,0.711207262,,
1183,,,Match,,,,0.720564088,0.753121133,,
1184,,,Match,,,,0.762477959,-0.713864352,,
1185,,,Match,,,,0.762477959,-0.671950481,,
1186,,,Match,,,,0.762477959,-0.63003661,,
1187,,,Match,,,,0.762477959,-0.588122739,,
1188,,,Match,,,,0.762477959,-0.546208868,,
1189,,,Match,,,,0.762477959,-0.504294997,,
1190,,,Match,,,,0.762477959,-0.462381126,,
1191,,,Match,,,,0.762477959,-0.420467255,,
1192,,,Match,,,,0.762477959,-0.378553384,,
1193,,,Match,,,,0.762477959,-0.336639513,,
1194,,,Match,,,,0.762477959,-0.294725642,,
1195,,,Match,,,,0.762477959,-0.252811771,,
1196,,,Match,,,,0.762477959,0.040585326,,
1197,,,Match,,,,0.762477959,0.124413068,,
1198,,,Match,,,,0.762477959,0.166326939,,
1199,,,Match,,,,0.762477959,0.292068552,,
1200,,,Match,,,,0.762477959,0.333982423,,
1201,,,Match,,,,0.762477959,0.375896294,,
1202,,,Match,,,,0.762477959,0.417810165,,
1203,,,Match,,,,0.762477959,0.459724036,,
1204,,,Match,,,,0.762477959,0.501637907,,
1205,,,Match,,,,0.762477959,0.543551778,,
1206,,,Match,,,,0.762477959,0.585465649,,
1207,,,Match,,,,0.762477959,0.62737952,,
1208,,,Match,,,,0.762477959,0.669293391,,
1209,,,Match,,,,0.762477959,0.711207262,,
1210,,,Match,,,,0.762477959,0.753121133,,
